id,label,node_type,pro_year_begin,pro_year_end,ser_id,ser_title,eve_cat_id
A_1,Andrzej Czeczot (†),artist,,,,,
A_2,Andrzej Dudziński (†),artist,,,,,
A_3,Anna Gałuszka,artist,,,,,
A_4,Adrian Buschmann,artist,,,,,
A_5,Adriana Marmorek,artist,,,,,
A_6,AESOP,artist,,,,,
A_7,Ahn In-Kun,artist,,,,,
A_8,Aids Hilfe Moskau,artist,,,,,
A_9,Alan Kline,artist,,,,,
A_10,Albert Pall,artist,,,,,
A_11,Alberto López Meza,artist,,,,,
A_12,Alena Baich,artist,,,,,
A_13,Aleš Zemene,artist,,,,,
A_14,Alex Klein,artist,,,,,
A_15,Alexander Kazakov,artist,,,,,
A_16,Alexander Liaschenko Petljura,artist,,,,,
A_17,Alexander Lugin,artist,,,,,
A_18,Alexander Petrelli,artist,,,,,
A_19,Alexandra Riewe,artist,,,,,
A_20,Alfred Grasselli,artist,,,,,
A_21,Alfred Lang,artist,,,,,
A_22,Alfredo Gómez,artist,,,,,
A_23,Ambra Polidori,artist,,,,,
A_24,amici delle SVA (Robert Blazek),artist,,,,,
A_25,An Chi-In,artist,,,,,
A_26,An Moon-Shik,artist,,,,,
A_27,Anchelka Mazur,artist,,,,,
A_28,Andi Strauss,artist,,,,,
A_29,André Tschinder,artist,,,,,
A_30,Andrea Baumann,artist,,,,,
A_31,Andrea Di Castro,artist,,,,,
A_32,Andrea Schlemmer,artist,,,,,
A_33,Andrea Sodomka,artist,,,,,
A_34,Andrea Speetgens,artist,,,,,
A_35,Andreas Gasser,artist,,,,,
A_36,Andreas Klöckl,artist,,,,,
A_37,Andreas Kurz,artist,,,,,
A_38,Andreas Platzer,artist,,,,,
A_39,Andreas Spiegl,artist,,,,,
A_40,Andreas Unterweger,artist,,,,,
A_41,Andreij Kislij,artist,,,,,
A_42,Anette Sense,artist,,,,,
A_43,Angá de la Luz,artist,,,,,
A_44,Angélica Rodríguez,artist,,,,,
A_45,Angelika Thon,artist,,,,,
A_46,Anita Hofer,artist,,,,,
A_47,Anita Witek,artist,,,,,
A_48,Anja Wiese,artist,,,,,
A_49,Anne Schmees,artist,,,,,
A_50,Annelie Gahl,artist,,,,,
A_51,Annette Giesriegl,artist,,,,,
A_52,anschlaege,artist,,,,,
A_53,Antal Lakner,artist,,,,,
A_54,Anton Cierny,artist,,,,,
A_55,Anton Lederer,artist,,,,,
A_56,Anton Tkachenko,artist,,,,,
A_57,Antonia Guerrero,artist,,,,,
A_58,Antonio Albanés,artist,,,,,
A_59,Aristarch Tscherneschov,artist,,,,,
A_60,Armando Montoya,artist,,,,,
A_61,Armin Pokorn,artist,,,,,
A_62,Arsenije Jovanovic,artist,,,,,
A_63,Assunta Abd El Azim Mohamed,artist,,,,,
A_64,Azra Aksamija,artist,,,,,
A_65,Bogusław Balicki,artist,,,,,
A_66,Bogdan Bartkowski,artist,,,,,
A_67,Baik Kum-Nam,artist,,,,,
A_68,"Bananeros/as de Chinandega (Familia López Meza, Familia Morales, Jerónimo Lira, Francisco González y otros más)",artist,,,,,
A_69,Barbara Musil,artist,,,,,
A_70,Barbara Schmette,artist,,,,,
A_71,Barbara Teubl,artist,,,,,
A_72,Barbara Waschmann,artist,,,,,
A_73,Bastian Schwind,artist,,,,,
A_74,bb15,artist,,,,,
A_75,Beate Schachinger,artist,,,,,
A_76,Beatriz Franco,artist,,,,,
A_77,Benjamin Klug,artist,,,,,
A_78,Bernadette Moser,artist,,,,,
A_79,Bernd Oppel,artist,,,,,
A_80,Berndt Luef,artist,,,,,
A_81,Bernhard Breuer,artist,,,,,
A_82,Bernhard Hammer,artist,,,,,
A_83,Bernhard Wolf,artist,,,,,
A_84,Besucher*innen,artist,,,,,
A_85,Bettina Landl,artist,,,,,
A_86,Billy Roisz,artist,,,,,
A_87,Birgit Jürgensen (†),artist,,,,,
A_88,Birgit Pölzl,artist,,,,,
A_89,Bojan Petrovic,artist,,,,,
A_90,Boris Matrosov,artist,,,,,
A_91,Bostjan Perovsek,artist,,,,,
A_92,Branka Ćurčić,artist,,,,,
A_93,Breda Susa,artist,,,,,
A_94,Bronislava Anatolejevnaja Dubner,artist,,,,,
A_95,Bruno Frei,artist,,,,,
A_96,Bulbul,artist,,,,,
A_97,"Cabinet Caligari (Peter Deutschmeister, Heinz Hutter, Leo Kreisel-Strausz)",artist,,,,,
A_98,Cándida Meza Alvarado,artist,,,,,
A_99,Carsten Stabenow – tuned city,artist,,,,,
A_100,Catalina Peralta,artist,,,,,
A_101,Catherine Rollier,artist,,,,,
A_102,Catrin Bolt,artist,,,,,
A_103,Celia Carolina López Meza,artist,,,,,
A_104,Cho Choul-Ho,artist,,,,,
A_105,Cho Tae-Hee,artist,,,,,
A_106,Choi Eun-Kyu,artist,,,,,
A_107,Choi Jae-Hwang,artist,,,,,
A_108,Christian Bachler,artist,,,,,
A_109,Christian KRI Kammerhofer,artist,,,,,
A_110,Christian Ruck,artist,,,,,
A_111,Christiane Spatt,artist,,,,,
A_112,Christina Meissner,artist,,,,,
A_113,Christina Werner,artist,,,,,
A_114,Christine S. Prantauer,artist,,,,,
A_115,Christine Ulm,artist,,,,,
A_116,Christof Elpons,artist,,,,,
A_117,Christoph Lissy,artist,,,,,
A_118,Christoph Mauz,artist,,,,,
A_119,Christoph Zarsel,artist,,,,,
A_120,Christopher Grüner,artist,,,,,
A_121,Christopher Kalwei,artist,,,,,
A_122,Chung Chung-Soo,artist,,,,,
A_123,Chung U-Chol,artist,,,,,
A_124,Clarissa Wanko,artist,,,,,
A_125,Claudia Märzendorfer,artist,,,,,
A_126,Claudia Plank,artist,,,,,
A_127,Clemens Pliem,artist,,,,,
A_128,club real * Berlin,artist,,,,,
A_129,Colectivo Veinti3,artist,,,,,
A_130,Concha Jerez,artist,,,,,
A_131,Conny Köberl,artist,,,,,
A_132,Consuelo Mora Benard,artist,,,,,
A_133,Cornelia Genschow,artist,,,,,
A_134,Corona,artist,,,,,
A_135,Cym (Simone van Groenestijn),artist,,,,,
A_136,Dagmar Anna Hödl,artist,,,,,
A_137,Daniil Filipov,artist,,,,,
A_138,Darwin Andino,artist,,,,,
A_139,Dave Allen,artist,,,,,
A_140,David Kranzelbinder,artist,,,,,
A_141,ddkern (Dieter Kern),artist,,,,,
A_142,de player,artist,,,,,
A_143,Dejan Dukic,artist,,,,,
A_144,Dejan Lapanja,artist,,,,,
A_145,Department München,artist,,,,,
A_146,Roland derHunt/Ratti Rathmair,artist,,,,,
A_147,"DI Martin Regelsberger, Kulturtechnik u. Wasserwirtschaft",artist,,,,,
A_148,Diana Levin,artist,,,,,
A_149,"Die Jugendlichen (J., A., K., O., M., I., und einige mehr)",artist,,,,,
A_150,Die Sixtinische Kapelle _ Confuse the nuns,artist,,,,,
A_151,Dieter Glawischnig,artist,,,,,
A_152,Dietmar Hollenstein,artist,,,,,
A_153,Dietmar Offenhuber,artist,,,,,
A_154,Dimitry Nikolaev,artist,,,,,
A_155,Dinah Geiger,artist,,,,,
A_156,Donatella Ruttar,artist,,,,,
A_157,Doris Prlić,artist,,,,,
A_158,Dorothee Steinbauer,artist,,,,,
A_159,Dr. Alfio Borzi,artist,,,,,
A_160,Dr. Robert Pfaller,artist,,,,,
A_161,Dr. Rudolf Muhr,artist,,,,,
A_162,Dulce Gómez,artist,,,,,
A_163,Duo MIMESYS,artist,,,,,
A_164,Durgarski Pozdrav,artist,,,,,
A_165,Dževad Hozo (†),artist,,,,,
A_166,Edward Dwurnik (†),artist,,,,,
A_167,Eugeniusz Get-Stankiewicz (†),artist,,,,,
A_168,e.d gfrerer,artist,,,,,
A_169,EAT Escuela Experimental de Arte (HN/COL),artist,,,,,
A_170,Edda Strobl,artist,,,,,
A_171,Edgar Honetschläger,artist,,,,,
A_172,Edgar Sorgo,artist,,,,,
A_173,Edgardo Antonio Vigo (†),artist,,,,,
A_174,Edith Arbeláez,artist,,,,,
A_175,Eduardo Vélez,artist,,,,,
A_176,Ekaterina Rischykova,artist,,,,,
A_177,"ekw 14,90",artist,,,,,
A_178,Elektro Guzzi,artist,,,,,
A_179,Elías Jiménez,artist,,,,,
A_180,Elisabeth Auer,artist,,,,,
A_181,Elisabeth Harnik,artist,,,,,
A_182,Elisabeth Schimana,artist,,,,,
A_183,Emil Krištof,artist,,,,,
A_184,Emmi Rendl-Denk,artist,,,,,
A_185,Erin Stewart,artist,,,,,
A_186,Ernesto Rico-Schmidt,artist,,,,,
A_187,Ernesto Salmerón,artist,,,,,
A_188,Erwin Bohatsch,artist,,,,,
A_189,Erwin Michenthaler,artist,,,,,
A_190,Erwin Stache,artist,,,,,
A_191,Esad Babačić,artist,,,,,
A_192,Eva Brede,artist,,,,,
A_193,Eva Choung-Fux,artist,,,,,
A_194,Eva Rossmann,artist,,,,,
A_195,Eva Ursprung,artist,,,,,
A_196,Eva Wohlgemuth,artist,,,,,
A_197,Eva-Maria Gugg,artist,,,,,
A_198,Evelyn Schalk,artist,,,,,
A_199,Ewald Oberleitner,artist,,,,,
A_200,Ewald Puhr,artist,,,,,
A_201,Falk Messerschmidt,artist,,,,,
A_202,Faroe Gandur,artist,,,,,
A_203,Felipe Ehrenberg,artist,,,,,
A_204,Ferdinand Schmatz,artist,,,,,
A_205,Fikret Libovac,artist,,,,,
A_206,firn/Tom Weghofer,artist,,,,,
A_207,Flora Neuwirth,artist,,,,,
A_208,Florian 'Flo' Sorgo,artist,,,,,
A_209,Francesco de Luca,artist,,,,,
A_210,Francisco González (Chico Güirila),artist,,,,,
A_211,Francisco Klinger Carvalho,artist,,,,,
A_212,Francisco Londoño,artist,,,,,
A_213,Franz Niegelhell,artist,,,,,
A_214,Franzobel (Franz Stefan Griebl),artist,,,,,
A_215,Freddy Isabel López Álvarez,artist,,,,,
A_216,frei. improvisiert. jazz,artist,,,,,
A_217,Frie Moschitz,artist,,,,,
A_218,Frie Moschitz & groupe en suite,artist,,,,,
A_219,Frie Reissig,artist,,,,,
A_220,Fritz Bergler,artist,,,,,
A_221,Fritz Fro,artist,,,,,
A_222,Fritz Oberleitner,artist,,,,,
A_223,Fugu and the Cosmic Mumu,artist,,,,,
A_224,Grażyna Drzewińska,artist,,,,,
A_225,Geari Schreilechner,artist,,,,,
A_226,Genoveva Rückert,artist,,,,,
A_227,Georg Jappe,artist,,,,,
A_228,Gerd Jabourek,artist,,,,,
A_229,Gerd Menia,artist,,,,,
A_230,Gerhard Pilgram,artist,,,,,
A_231,Gerhard Ruiss,artist,,,,,
A_232,German Vinogradov,artist,,,,,
A_233,Gernot Tscherteu,artist,,,,,
A_234,Gert Langer,artist,,,,,
A_235,Giberto Chen Carpentier,artist,,,,,
A_236,Gilles Charalambos,artist,,,,,
A_237,global bastards,artist,,,,,
A_238,Gloria Posada,artist,,,,,
A_239,Gloria Ribe,artist,,,,,
A_240,Gomez-Strausz,artist,,,,,
A_241,Gottfried Bechtold,artist,,,,,
A_242,Gottfried Krienzer,artist,,,,,
A_243,Grace Quintanilla,artist,,,,,
A_244,Gregor Pokorny,artist,,,,,
A_245,Gregorio Rocha,artist,,,,,
A_246,Gruppe “Die Weisheit mit grossen Löffeln gegessen”,artist,,,,,
A_247,Gruppe Norden,artist,,,,,
A_248,Gudrun Bielz,artist,,,,,
A_249,Gue Schmidt,artist,,,,,
A_250,Günter Eichberger,artist,,,,,
A_251,Gustav Böhm,artist,,,,,
A_252,Gustavo Vázquez,artist,,,,,
A_253,Henryk Tomaszewski,artist,,,,,
A_254,H.J. Schubert,artist,,,,,
A_255,Halt+Boring,artist,,,,,
A_256,Hamza Alshafe,artist,,,,,
A_257,Han Byung-Ki,artist,,,,,
A_258,Hannes Priesch,artist,,,,,
A_259,Hans Kuppelwieser,artist,,,,,
A_260,Hans Puhr,artist,,,,,
A_261,Hans Schabus,artist,,,,,
A_262,Hans Werner Poschauko,artist,,,,,
A_263,Harald Huskava,artist,,,,,
A_264,Hari Bukovsec,artist,,,,,
A_265,Hasan Solmaz,artist,,,,,
A_266,Haydee Garcia,artist,,,,,
A_267,Hector Aquilar,artist,,,,,
A_268,Hedya Klein,artist,,,,,
A_269,Heidi Ratschop,artist,,,,,
A_270,HeiDi Richter,artist,,,,,
A_271,Heidrun Langer,artist,,,,,
A_272,Heidrun Zettelbauer,artist,,,,,
A_273,Heimo Puschnigg (†),artist,,,,,
A_274,Heimo Wallner,artist,,,,,
A_275,Helga Glattfelder-Knöbl,artist,,,,,
A_276,Helga Petrau-Heinzel,artist,,,,,
A_277,Helmut Mark,artist,,,,,
A_278,Helwig Brunner,artist,,,,,
A_279,Heribert Hirschmann (†),artist,,,,,
A_280,Hong Hyun-Chul,artist,,,,,
A_281,Hong Kyoung-A,artist,,,,,
A_282,Hong Seon-Kee,artist,,,,,
A_283,Hubert Höllmüller,artist,,,,,
A_284,Hugo Córdoba,artist,,,,,
A_285,Hugo Ochoa,artist,,,,,
A_286,Hunger auf Kunst und Kultur,artist,,,,,
A_287,IG-Kultur Steiermark,artist,,,,,
A_288,Ignacio Deserega,artist,,,,,
A_289,Ilona Nemeth,artist,,,,,
A_290,Infoladen Graz,artist,,,,,
A_291,Inge Freidl,artist,,,,,
A_292,Ingo Abeska,artist,,,,,
A_293,Ira Mihalevic,artist,,,,,
A_294,Irene del Socorro López Meza,artist,,,,,
A_295,Irene López Meza,artist,,,,,
A_296,Isabel Leveche,artist,,,,,
A_297,Isabella Bordoni,artist,,,,,
A_298,Isabella Hollauf,artist,,,,,
A_299,Iván Avila,artist,,,,,
A_300,Ivan Trenev,artist,,,,,
A_301,Ivana Stefanovic,artist,,,,,
A_302,Jacek Ćwikła,artist,,,,,
A_303,Jerzy Czerniawski,artist,,,,,
A_304,Jakub Erol (†),artist,,,,,
A_305,Jarosław Jasiński,artist,,,,,
A_306,Jan Młodożeniec,artist,,,,,
A_307,Janusz Trzebiatowski,artist,,,,,
A_308,"Jaime de Angulo, From Coyote Man and Old Doctor Loon",artist,,,,,
A_309,Jaime Muñoz,artist,,,,,
A_310,Jakob Schneidewind,artist,,,,,
A_311,Jana Wisniewski,artist,,,,,
A_312,Jeannot Schwartz,artist,,,,,
A_313,Jennifer Margarita Lagos López,artist,,,,,
A_314,Jens Tomkowitz,artist,,,,,
A_315,Jeon Hyeong-Yeol,artist,,,,,
A_316,Jeong Shin-Kong,artist,,,,,
A_317,Jerónimo Lira,artist,,,,,
A_318,Jikrgi Libovac,artist,,,,,
A_319,Jochen Höller,artist,,,,,
A_320,Joe & Andrew,artist,,,,,
A_321,Jogi Hofmüller,artist,,,,,
A_322,Johanna Glösl,artist,,,,,
A_323,Johannes Heuer,artist,,,,,
A_324,Johannes Stöckler,artist,,,,,
A_325,John Preininger,artist,,,,,
A_326,Jörg Klauber,artist,,,,,
A_327,Jorge Lepez Vela,artist,,,,,
A_328,José Iges,artist,,,,,
A_329,José Manuel Pintado,artist,,,,,
A_330,José Montealegre,artist,,,,,
A_331,José Raúl Pérez,artist,,,,,
A_332,Josef Dabernig,artist,,,,,
A_333,Josef Flois,artist,,,,,
A_334,Josef Fürpass,artist,,,,,
A_335,Juan Carlos Mendoza,artist,,,,,
A_336,Juana López Meza,artist,,,,,
A_337,Judith Fegerl,artist,,,,,
A_338,Julian Feyerabend,artist,,,,,
A_339,Julie Monaco,artist,,,,,
A_340,Jun Youn-Li,artist,,,,,
A_341,Jung In-Wan,artist,,,,,
A_342,Jürgen Schiefer,artist,,,,,
A_343,Jutta Zniva,artist,,,,,
A_344,Krzysztof Bednarski,artist,,,,,
A_345,Krzysztof Grzesiak,artist,,,,,
A_346,Karol Śliwka,artist,,,,,
A_347,Krzysztof Tyczkowski,artist,,,,,
A_348,Kang Chang-Yul,artist,,,,,
A_349,Kang Jung-Hyun,artist,,,,,
A_350,Kang Ku-Won,artist,,,,,
A_351,Kang Kyung-Gu,artist,,,,,
A_352,Karl Grünling,artist,,,,,
A_353,Karl Heinz Dicht,artist,,,,,
A_354,Karl Hikade,artist,,,,,
A_355,Karl Schmoll,artist,,,,,
A_356,Karl Stocker,artist,,,,,
A_357,Karl Wilhelm Krbavac,artist,,,,,
A_358,Karl-Heinz Bloyer,artist,,,,,
A_359,Kartell Graz,artist,,,,,
A_360,Katarina Juvančič,artist,,,,,
A_361,Katarina Pejovic,artist,,,,,
A_362,Katharina Bürgin,artist,,,,,
A_363,Katharina Mraček-Gabalier,artist,,,,,
A_364,Katharina Riese,artist,,,,,
A_365,Kaye Mortley,artist,,,,,
A_366,Keneth Martínez López,artist,,,,,
A_367,Kim Cheol-Woo,artist,,,,,
A_368,Kim Hae-Dong,artist,,,,,
A_369,Kim In-Ha,artist,,,,,
A_370,Kim Joung-Soo,artist,,,,,
A_371,Kim Keun-Tai,artist,,,,,
A_372,Kim Ki-Kwon,artist,,,,,
A_373,Kim Kwang-Hyun,artist,,,,,
A_374,Kim Moon-Hoe,artist,,,,,
A_375,Kim Sun,artist,,,,,
A_376,Kim Young-Sou,artist,,,,,
A_377,Kim Yun-Hoon,artist,,,,,
A_378,Klaus Lippitsch,artist,,,,,
A_379,Klaus Obermaier,artist,,,,,
A_380,Klemens Pliem,artist,,,,,
A_381,Kolonie Wedding,artist,,,,,
A_382,kompott,artist,,,,,
A_383,Konstantin Zvezdochotov,artist,,,,,
A_384,kozek hörlonski,artist,,,,,
A_385,Krzysztof Malachowski,artist,,,,,
A_386,kultuuritehas polymer,artist,,,,,
A_387,Künstlergruppe Piedra del Sol (A/MEX),artist,,,,,
A_388,Kurt Bauer,artist,,,,,
A_389,Kurt Strohmeier,artist,,,,,
A_390,Kvartet 4 U (Rož),artist,,,,,
A_391,Leszek Drzewiński,artist,,,,,
A_392,Label niesom,artist,,,,,
A_393,Lale Rodgarkia-Dara,artist,,,,,
A_394,Lalo Srkalovic,artist,,,,,
A_395,Lamia Jabri,artist,,,,,
A_396,Larissa Lasareva,artist,,,,,
A_397,Larissa Zvezdochotova,artist,,,,,
A_398,László Darvasi,artist,,,,,
A_399,László Garaczi,artist,,,,,
A_400,László Varvasovszky,artist,,,,,
A_401,Lawrence Weiner (†),artist,,,,,
A_402,Leana Yamileth López Álvarez,artist,,,,,
A_403,Leandro Remigio López Meza,artist,,,,,
A_404,Lee Byung-Chun,artist,,,,,
A_405,Lee Doo-Seop,artist,,,,,
A_406,Lee Hang,artist,,,,,
A_407,Lee Jai-Min,artist,,,,,
A_408,Lee Jin-Dong,artist,,,,,
A_409,Lee Jong-Sun,artist,,,,,
A_410,Lee Joo-Sung,artist,,,,,
A_411,Lee Joung-Gun,artist,,,,,
A_412,Lee Jung-Hoon,artist,,,,,
A_413,Lee Keun-Myung,artist,,,,,
A_414,Lee Kwang-Soo,artist,,,,,
A_415,Lee Moon-Soo,artist,,,,,
A_416,Lee Won-Il,artist,,,,,
A_417,Leo Hainzl,artist,,,,,
A_418,Leo Kreisel-Strausz (†),artist,,,,,
A_419,Leon Hainzl & Gertraud Hasselbach,artist,,,,,
A_420,Leonel Cerrato Jirón,artist,,,,,
A_421,Léster Lagos López,artist,,,,,
A_422,Lidia Zielińska,artist,,,,,
A_423,Lidija Radojević,artist,,,,,
A_424,Liesl Ujvary,artist,,,,,
